Date,Open,High,Low,Close,Volume,Adj Close
2013-05-20,83.790001,83.839996,82.470001,82.589996,3958200,75.867537
2013-05-17,83.910004,84.040001,83.110001,83.800003,4505200,76.979054
2013-05-16,84.040001,84.779999,83.669998,83.739998,4496300,76.923933
2013-05-15,83.379997,84.449997,83.239998,84.25,4087900,77.392424
2013-05-14,83.059998,83.519997,82.919998,83.50,4538500,76.70347
2013-05-13,82.720001,83.349998,82.519997,83.029999,3010600,76.271725
2013-05-10,82.980003,83.25,82.580002,83.00,3161800,76.244168
2013-05-09,83.349998,83.580002,82.599998,82.849998,3711900,76.106376
2013-05-08,83.300003,83.650002,82.809998,83.25,4110700,76.473819
2013-05-07,82.589996,83.339996,82.370003,83.339996,3706700,76.55649
2013-05-06,82.699997,82.699997,82.220001,82.50,3032100,75.784866
2013-05-03,82.959999,83.25,82.459999,82.830002,4777200,76.088007
2013-05-02,82.139999,82.93,82.080002,82.559998,2727000,75.83998
2013-05-01,82.360001,82.839996,82.080002,82.209999,3532100,75.51847
2013-04-30,82.410004,82.639999,82.019997,82.470001,4116100,75.757309
2013-04-29,82.510002,82.919998,82.419998,82.650002,2849600,75.922658
2013-04-26,82.709999,82.989998,82.300003,82.510002,3076000,75.794054
2013-04-25,82.410004,83.089996,82.18,82.82,5602800,76.078819
2013-04-24,84.059998,84.290001,82.220001,82.339996,6398300,75.637886
2013-04-23,83.669998,84.32,83.50,84.099998,6670800,77.254631
2013-04-22,82.290001,83.629997,82.050003,83.379997,6664800,76.593235
2013-04-19,82.010002,83.269997,81.870003,82.769997,8368300,76.032886
2013-04-18,80.209999,83.449997,80.110001,81.25,18895600,74.63661
2013-04-17,79.739998,80.150002,78.769997,78.849998,7532300,72.431958
2013-04-16,79.230003,80.029999,79.089996,80.00,5148600,73.488355
2013-04-15,79.529999,80.019997,78.910004,78.919998,5356600,72.49626
2013-04-12,78.93,80.040001,78.739998,79.989998,5540000,73.479167
2013-04-11,80.029999,80.480003,79.800003,79.959999,5389900,73.45161
2013-04-10,79.43,80.099998,79.260002,80.059998,3540200,73.543469
2013-04-09,79.599998,79.720001,79.150002,79.209999,3921900,72.762656
2013-04-08,78.57,79.510002,78.25,79.50,3726400,73.029052
2013-04-05,78.949997,79.080002,78.400002,78.589996,4244000,72.193119
2013-04-04,78.300003,79.57,78.300003,79.529999,5299000,73.056609
2013-04-03,79.870003,79.879997,78.800003,78.959999,3895400,72.533005
2013-04-02,79.349998,79.879997,79.269997,79.739998,4034100,73.249516
2013-04-01,78.760002,79.230003,78.760002,79.099998,3639000,72.661609
2013-03-28,78.50,79.129997,78.07,79.110001,5338100,72.670797
2013-03-27,78.50,78.650002,77.910004,78.290001,3601600,71.917542
2013-03-26,77.900002,78.940002,77.790001,78.919998,5183700,72.49626
2013-03-25,78.610001,78.639999,77.599998,77.830002,6873800,71.494985
2013-03-22,76.739998,79.269997,76.660004,78.639999,14228500,72.239052
2013-03-21,76.290001,76.75,76.00,76.150002,3998200,69.951729
2013-03-20,76.949997,77.07,76.07,76.32,7579800,70.10789
2013-03-19,76.779999,76.949997,76.50,76.669998,5040200,70.4294
2013-03-18,76.660004,76.989998,76.599998,76.68,4176900,70.438588
2013-03-15,76.849998,77.150002,76.699997,77.040001,6650900,70.769286
2013-03-14,77.059998,77.220001,76.860001,77.190002,4149900,70.907078
2013-03-13,76.889999,77.099998,76.650002,76.949997,3544000,70.686608
2013-03-12,76.830002,77.18,76.690002,76.889999,4608300,70.631494
2013-03-11,77.120003,77.389999,76.790001,76.849998,4023100,70.594749
2013-03-08,77.160004,77.410004,76.650002,77.199997,4297000,70.916259
2013-03-07,76.760002,77.169998,76.669998,77.139999,4461600,70.861145
